market_skip_norm,other_designations,supervision_area,context,direct_access,fillup,fillup_dry,fillup_rainy,number_skips,y,x,notes
blantyre produce market,"blantyre, blantyre produce,blantyre produce market,blantyre market",Blantyre,market,through market (dirt path),NA,1,0.5,1,-15.791068,35.00696,"Big issues with overflowing in rainy season, waste inside the market building. Most WASTE installed bins are broken (according to them). During rain season, 4-5 day wait to get collected after first overflow of a skip before it is emptied."
mbayani,NA,NA,NA,NA,NA,NA,NA,0,-15.775925,35.007859,"Told there hasn't been a skip in 3 years. Composting facility built by German development agency, plastic waste thrown over side of hill. "
chemusa,NA,Blantyre,market,paved road,3,3,NA,1,-15.766006,34.99936,NA
chirimba,NA,Blantyre,market,dirt road,2,NA,NA,1,-15.744681,35.019198,Takes two days to fill up
chinseu,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Reportedly no more skips there, skips removed due to vendor complaints"
ndirande,NA,Ginnery Corner,market,paved road,NA,NA,NA,2,-15.776998,35.036692,NA
safarao,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"Reportedly no more skips there, skips removed due to vendor complaints"
limbe flea market,NA,Limbe,market,through market (dirt path),6,NA,NA,1,-15.816282,35.056252,NA
limbe produce market,NA,Limbe,market,through market (dirt path),NA,NA,NA,2,-15.817877,35.05576,Area cleansing supervisor estimates there needs 2 more to not have overflow
pafumbi bus,NA,Limbe,other,dirt road,NA,NA,NA,1,-15.819399,35.054275,NA
ITG,NA,Limbe,other,dirt road,NA,NA,NA,2,-15.819945,35.059309,NA
bangwe market,NA,Limbe,market,through market (dirt path),NA,NA,NA,2,-15.835162,35.087989,Area cleansing supervisor estimates there needs 1 more to mitigate overflowing in rainy season
bangwe ground,NA,Limbe,market,through market (dirt path),NA,NA,NA,1,-15.83307,35.088249,NA
naizi,NA,Limbe,market,through market (dirt path),NA,NA,NA,2,-15.841398,35.089437,NA
BCA market,NA,Limbe,market,dirt road,NA,NA,NA,1,-15.839022,35.075069,One was destroyed by the cyclone in march 2023
chigumula likotima,"chigumula b,likotima",Limbe,market,through market (dirt path),NA,NA,NA,1,-15.853959,35.05674,NA
chigumula main,"chigumula a,main",Limbe,market,through market (dirt path),NA,NA,NA,2,-15.886226,35.063088,NA
kachere,NA,Limbe,market,paved road,3,NA,NA,1,-15.790015,35.08564,"No mention of another skip in Kachere market. Picture of other in WASTE skips dataset only shows the skip ""house"""
nkolokoti,NA,Limbe,market,through market (dirt path),NA,NA,NA,1,-15.790558,35.069467,NA
